Gene,Protein Length,Molecular Weight,Isoelectric Point,Hydrophobicity
thrL,21,2138.4426,11.000256538391113,28.57142857142857
thrA,820,89119.2202,5.465035057067872,48.90243902439024
thrB,310,33623.290499999996,5.45281467437744,50.0
thrC,428,47113.2536,5.2375085830688475,49.532710280373834
yaaX,98,11322.7344,10.15868625640869,43.87755102040816
yaaA,258,29585.453800000003,6.8584997177124025,46.51162790697674
yaaJ,476,51662.291,8.928500556945803,59.03361344537815
talB,317,35218.8107,5.105698966979979,47.94952681388013
mog,195,21222.105,4.970820045471191,47.69230769230769
satP,188,20070.630299999997,7.883210182189941,60.63829787234043
yaaW,237,26664.5763,9.365015983581543,43.459915611814345
mbiA,161,17637.1282,9.150207328796387,38.50931677018634
yaaI,134,14481.418,7.685848045349122,41.7910447761194
dnaK,638,69114.1284,4.831337165832519,42.31974921630094
dnaJ,376,41099.875799999994,7.976882743835449,36.702127659574465
insL1,370,40908.3273,8.768103218078615,47.02702702702703
mokC,69,7742.206,9.255613136291505,49.275362318840585
hokC,50,5501.5109999999995,6.708046913146972,54.0
nhaA,388,41323.1165,9.27779026031494,63.144329896907216
nhaR,301,34284.0399,5.641917991638183,49.16943521594684
insB1,167,19564.3535,10.126387596130368,43.712574850299404
insA1,91,9836.214699999999,10.322113609313963,35.16483516483517
rpsT,87,9666.242999999999,11.182508659362792,44.827586206896555
yaaY,72,7890.2841,9.745895195007321,52.77777777777778
ribF,313,34733.8411,9.336198616027833,47.6038338658147
ileS,938,104295.6111,5.6570940017700195,47.12153518123667
lspA,164,18156.095699999998,8.619696998596194,59.14634146341463
fkpB,149,16080.815599999998,4.299835777282715,45.63758389261745
ispH,316,34774.1472,5.1960161209106435,45.88607594936709
rihC,304,32560.414299999997,5.2300626754760735,53.94736842105263
dapB,273,28756.2878,5.445993995666503,45.78754578754579
carA,382,41412.471900000004,5.918041801452636,45.54973821989529
carB,1073,117840.3704,5.221138954162597,46.97110904007455
caiF,131,15436.0077,8.96170177459717,45.80152671755725
caiE,196,21212.080700000002,6.307388877868653,45.91836734693878
caiD,261,28189.895399999998,4.921767997741698,52.490421455938694
caiC,517,58558.4533,5.610088157653809,46.22823984526112
caiB,405,45126.2532,5.129514503479004,49.382716049382715
caiA,380,42557.9488,5.08125820159912,45.78947368421053
caiT,504,56586.6199,8.5436243057251,60.51587301587301
fixA,256,27143.4365,4.4623384475708,48.4375
fixB,313,33512.766599999995,6.601985359191895,48.56230031948881
fixC,428,45702.306899999996,5.651466941833497,48.831775700934585
fixX,95,10478.8198,5.2674058914184565,44.21052631578947
yaaU,443,48666.290799999995,8.800337409973146,58.69074492099323
kefF,176,20169.7397,6.06394748687744,50.0
kefC,620,67795.04879999999,5.697677040100097,55.32258064516129
folA,159,17999.167,4.839180946350097,48.42767295597484
apaH,280,31296.347999999998,5.204769325256346,48.57142857142857
apaG,125,13866.589600000001,4.716408729553222,49.6
rsmA,273,30419.7966,7.8220296859741225,51.64835164835166
